dates,label,Year,Month,Yearmonth
"Oct 29, 2018",1,2018,Oct,2018-10-01
"Sep 28, 2018",1,2018,Sep,2018-09-01
"Oct 8, 2018",1,2018,Oct,2018-10-01
"Oct 29, 2018",1,2018,Oct,2018-10-01
"Oct 14, 2018",1,2018,Oct,2018-10-01
"Oct 14, 2018",1,2018,Oct,2018-10-01
"Nov 15, 2018",0,2018,Nov,2018-11-01
"Oct 25, 2018",1,2018,Oct,2018-10-01
"Oct 10, 2018",1,2018,Oct,2018-10-01
"Oct 24, 2018",1,2018,Oct,2018-10-01
"Oct 9, 2018",1,2018,Oct,2018-10-01
"Oct 9, 2018",1,2018,Oct,2018-10-01
"Oct 23, 2018",1,2018,Oct,2018-10-01
"Oct 22, 2018",1,2018,Oct,2018-10-01
"Oct 23, 2018",1,2018,Oct,2018-10-01
"Oct 7, 2018",1,2018,Oct,2018-10-01
"Oct 7, 2018",1,2018,Oct,2018-10-01
"Oct 6, 2018",1,2018,Oct,2018-10-01
"Oct 20, 2018",1,2018,Oct,2018-10-01
"Oct 16, 2018",1,2018,Oct,2018-10-01
"Oct 5, 2018",1,2018,Oct,2018-10-01
"Oct 1, 2018",1,2018,Oct,2018-10-01
"Oct 4, 2018",1,2018,Oct,2018-10-01
"Oct 4, 2018",1,2018,Oct,2018-10-01
"Oct 4, 2018",1,2018,Oct,2018-10-01
"Oct 4, 2018",1,2018,Oct,2018-10-01
"Oct 18, 2018",0,2018,Oct,2018-10-01
"Sep 30, 2018",1,2018,Sep,2018-09-01
"Oct 17, 2018",1,2018,Oct,2018-10-01
"Oct 17, 2018",1,2018,Oct,2018-10-01
"Oct 2, 2018",1,2018,Oct,2018-10-01
"Oct 17, 2018",0,2018,Oct,2018-10-01
"Oct 14, 2018",1,2018,Oct,2018-10-01
"Oct 29, 2018",0,2018,Oct,2018-10-01
"Oct 14, 2018",1,2018,Oct,2018-10-01
"Oct 14, 2018",1,2018,Oct,2018-10-01
"Oct 14, 2018",1,2018,Oct,2018-10-01
"Sep 15, 2018",1,2018,Sep,2018-09-01
"Sep 25, 2018",1,2018,Sep,2018-09-01
"Oct 12, 2018",1,2018,Oct,2018-10-01
"Sep 27, 2018",1,2018,Sep,2018-09-01
"Sep 27, 2018",1,2018,Sep,2018-09-01
"Oct 11, 2018",1,2018,Oct,2018-10-01
"Sep 23, 2018",1,2018,Sep,2018-09-01
"Sep 26, 2018",1,2018,Sep,2018-09-01
"Sep 26, 2018",1,2018,Sep,2018-09-01
"Sep 24, 2018",1,2018,Sep,2018-09-01
"Sep 24, 2018",1,2018,Sep,2018-09-01
"Sep 22, 2018",1,2018,Sep,2018-09-01
"Oct 6, 2018",1,2018,Oct,2018-10-01
"Oct 5, 2018",1,2018,Oct,2018-10-01
"Sep 20, 2018",1,2018,Sep,2018-09-01
"Sep 20, 2018",1,2018,Sep,2018-09-01
"Sep 20, 2018",1,2018,Sep,2018-09-01
"Oct 4, 2018",1,2018,Oct,2018-10-01
"Sep 16, 2018",1,2018,Sep,2018-09-01
"Sep 19, 2018",1,2018,Sep,2018-09-01
"Sep 18, 2018",1,2018,Sep,2018-09-01
"Sep 28, 2018",1,2018,Sep,2018-09-01
"Sep 17, 2018",1,2018,Sep,2018-09-01
"Sep 17, 2018",1,2018,Sep,2018-09-01
"Sep 17, 2018",1,2018,Sep,2018-09-01
"Sep 30, 2018",1,2018,Sep,2018-09-01
"Sep 30, 2018",1,2018,Sep,2018-09-01
"Sep 15, 2018",1,2018,Sep,2018-09-01
"Sep 15, 2018",1,2018,Sep,2018-09-01
"Sep 29, 2018",1,2018,Sep,2018-09-01
"Sep 30, 2018",0,2018,Sep,2018-09-01
"Sep 11, 2018",1,2018,Sep,2018-09-01
"Sep 29, 2018",1,2018,Sep,2018-09-01
"Oct 17, 2018",0,2018,Oct,2018-10-01
"Sep 4, 2018",1,2018,Sep,2018-09-01
"Sep 14, 2018",1,2018,Sep,2018-09-01
"Sep 13, 2018",1,2018,Sep,2018-09-01
"Sep 13, 2018",1,2018,Sep,2018-09-01
"Sep 9, 2018",1,2018,Sep,2018-09-01
"Sep 9, 2018",1,2018,Sep,2018-09-01
"Sep 27, 2018",1,2018,Sep,2018-09-01
"Sep 26, 2018",1,2018,Sep,2018-09-01
"Sep 11, 2018",1,2018,Sep,2018-09-01
"Aug 30, 2018",1,2018,Aug,2018-08-01
"Sep 9, 2018",1,2018,Sep,2018-09-01
